consulta	nombre	categoria	direccion	pagina_web	telefono
carniceria	Ganadera Sur	Carnicerias	Calderón de la Barca 503 SAN Bernardo - RM	NA	(+56)225286407
carniceria	Ganadera Don Francisco	Carnicerias	Av La Estrella 1339 PUDAHUEL - RM	NA	(+56)226678044
carniceria	Carnes Oly	Carnicerias	Franklin 888 SANTIAGO - RM	NA	(+56)225518274
carniceria	El Regalon	Carnicerias	J. Guzmán Errázuriz 8569 PUDAHUEL - RM	NA	(+56)227482552
carniceria	Carniceria Don Julio	Carnicerias	John Kennedy 13031 LA Pintana - RM	www.carniceriadonjulio.cl	(+56)225457123
carniceria	Carniceria Delicias	Carnicerias	Río Claro 1802 PEÑALOLÉN - RM	NA	(+56)223227035
carniceria	Carniceria Mane	Carnicerias	Franklin 888 SANTIAGO - RM	NA	(+56)225559509
carniceria	Ganado Sureño	Carnicerias	Almagro 1398 Los Angeles - VIII Región	NA	(+56)432369382
carniceria	Carniceria y Elaboracion de Productos Ahumados Gorbea	Carnicerias	Manuel Rodríguez 855 Gorbea - IX Región	NA	(+56)452492005
carniceria	Carniceria Triviño	Carnicerias	San Martín 694 Castro - X Región	NA	(+56)652638069
carniceria	Carnes los Temucanos	Carnicerias	Pje Juan Francisco Fresno 1700 Coronel - VIII Región	NA	(+56)412754921
carniceria	El Tata	Carnicerias	Cauquenes 1097 RECOLETA - RM	NA	(+56)977524947
carniceria	Carnes Manriquez	Carnicerias	Manuel Rodríguez 1495 Temuco - IX Región	NA	(+56)452237007
carniceria	Carnes Varela Quintana	Carnicerias	Franklin 888 SANTIAGO - RM	NA	(+56)222946466
carniceria	Las Marias	Carnicerias	Av Humeres 604 Cabildo - V Región	NA	(+56)332761998
carniceria	Carniceria Aeropuerto	Carnicerias	Donatila Fernández 177 Chañaral - III Región	NA	(+56)522480306
carniceria	El Caliz	Carnicerias	Manuel Montt 1325 Tomé - VIII Región	NA	(+56)412658404
carniceria	Carniceria Jajjarw	Carnicerias	Chorrillos 602 Victoria - IX Región	NA	(+56)452846219
carniceria	Don Juan	Carnicerias	Sotomayor 299 Nueva Imperial - IX Región	NA	(+56)452613506
carniceria	La Veguita	Carnicerias	Alonso de Berríos 6024 PEÑALOLÉN - RM	NA	(+56)222717249
carniceria	Carniceria el Trigal	Carnicerias	Aconcagua 1189 Calera - V Región	NA	(+56)332369052
carniceria	Carne Doña Maria	Carnicerias	Madrid 3263 Quilpué - V Región	NA	(+56)322943911
carniceria	Carniceria San Pedro	Carnicerias	Diego Portales 1025 Viña del Mar - V Región	NA	(+56)322483637
carniceria	Carniceria y Rotiseria Anita	Carnicerias	José Santos Ossa 0 Antofagasta - II Región	NA	(+56)552254436
carniceria	Rubilar Alveal Blanca Eugenia	Carnicerias	Bañados Espinoza 1926 Calama - II Región	NA	(+56)552360798
carniceria	Magnere	Carnicerias	Lib. B.O'Higgins 129 Quillota - V Región	NA	(+56)332312134
carniceria	Carniceria Varas	Carnicerias	Av Prat 194 Quillota - V Región	NA	(+56)332310087
carniceria	Carniceria Romasol	Carnicerias	Av Valparaíso 796 Villa Alemana - V Región	NA	(+56)322950035
carniceria	Carniceria Esperanza	Carnicerias	Av Colón 2798 Valparaíso - V Región	NA	(+56)322234101
carniceria	Distribuidora y Comercializadora de Carne Don Luis	Carnicerias	Haití 1176 Valparaíso - V Región	NA	(+56)322748674
carniceria	Comercial Genovesa Limitada	Carnicerias	Claudio Vicuña 723 Quilpué - V Región	NA	(+56)322922458
carniceria	Carniceria Gonzalez	Carnicerias	Mercado Municipal 0 Viña del Mar - V Región	NA	(+56)322685405
carniceria	Figueroa Salomon Vicente Luis	Carnicerias	Av San Agustín 779 Concón - V Región	NA	(+56)322812151
carniceria	Carniceria Central	Carnicerias	Estrella de Chile 196 Quintero - V Región	NA	(+56)322930621
carniceria	Carniceria Torrejon	Carnicerias	Av Independencia 1801 Valparaíso - V Región	NA	(+56)322214486
carniceria	Carniceria Jl	Carnicerias	O'Brien 307 Valparaíso - V Región	NA	(+56)322239959
carniceria	Don Luis	Carnicerias	Av Arturo Prat 1672 Quintero - V Región	NA	(+56)322931760
carniceria	Carniceria la Plaza	Carnicerias	Almirante Latorre 96 Cartagena - V Región	NA	(+56)352450289
carniceria	Carniceria Rivas	Carnicerias	Los Molles 700 La Ligua - V Región	NA	(+56)332711907
carniceria	Carniceria Santa Teresa	Carnicerias	República Argentina 698 Los Andes - V Región	NA	(+56)342421082
carniceria	Carniceria la Economia	Carnicerias	Pje Capitán Raimundo Morris 28 Chiguayante - VIII Región	NA	(+56)412337255
carniceria	Carniceria la Rivera	Carnicerias	Juan Mackay 580 Coronel - VIII Región	NA	(+56)412710410
carniceria	Torres Rivera Hector Miguel	Carnicerias	Maule 656 Tomé - VIII Región	NA	(+56)412659734
carniceria	Carniceria San Jorge	Carnicerias	Ventus 1898 Concepción - VIII Región	NA	(+56)412913692
carniceria	Norambuena Pino Jorge	Carnicerias	José Miguel Carrera 316 Lebu - VIII Región	NA	(+56)412512395
carniceria	Multicarne Saul Abraham Martinez Garrido	Carnicerias	Patria 0 Arauco - VIII Región	NA	(+56)412571087
carniceria	Comercial Aedo S.A.	Carnicerias	Pedro Aguirre Cerda 0 Chiguayante - VIII Región	NA	(+56)412361863
carniceria	La Norteña	Carnicerias	Av San Martín 01404 Temuco - IX Región	NA	(+56)452240679
carniceria	Perez Rupayan Ana Maria	Carnicerias	Trancura 1035 Temuco - IX Región	NA	(+56)452389223
carniceria	La Sin Ri Val	Carnicerias	Matta 197 Temuco - IX Región	NA	(+56)452318542
carniceria	Carniceria Anita	Carnicerias	Blanco 730 Temuco - IX Región	NA	(+56)452403833
carniceria	Carniceria Tromen	Carnicerias	Tromen 35 Temuco - IX Región	NA	(+56)452324502
carniceria	Carnes Venegas	Carnicerias	Av Mercado Municipal 0 Temuco - IX Región	NA	(+56)452212400
carniceria	Uribe Quezada Marta Elena	Carnicerias	Av Libertador B.O'Higgins 499 Angol - IX Región	NA	(+56)452718309
carniceria	Comercializadora de Carnes Fina Seleccion	Carnicerias	General Aldunate 398 Temuco - IX Región	NA	(+56)452220951
carniceria	Duran Merino Lilian Jeannette	Carnicerias	Pje Oscar Mellado 259 Lautaro - IX Región	NA	(+56)452533900
carniceria	Carnes Araneda	Carnicerias	General Aldunate 0 Temuco - IX Región	NA	(+56)452211991
carniceria	Frigorífico la Preferencia	Carnicerias	Av Manuel Recabarren 01720 Temuco - IX Región	NA	(+56)452250468
carniceria	Comercial San Pablo	Carnicerias	Pedro Montt 102 Purranque - X Región	NA	(+56)642350070
carniceria	Carniceria la Economica	Carnicerias	Lib. B. O'Higgins 649 Castro - X Región	NA	(+56)652635085
carniceria	Don Michel	Carnicerias	Eleuterio Ramírez 478 Natales - XII Región	NA	(+56)612414701
carniceria	Carniceria Juan Hernandez	Carnicerias	Franklin 840 SANTIAGO - RM	NA	(+56)225562231
carniceria	Carniceria Carmen Trocal	Carnicerias	Yungay 131 Quillota - V Región	NA	(+56)332358257
carniceria	Carniceria 3B	Carnicerias	Av Pedro Montt 196 San Antonio - V Región	NA	(+56)352586902
carniceria	Donde Ricardo	Carnicerias	General Aldunate 358 Temuco - IX Región	NA	(+56)452737470
carniceria	Frigorifico San Andres	Carnicerias	Manuel Rodríguez 1477 Temuco - IX Región	NA	(+56)452738983
carniceria	Carnes Fam	Carnicerias	Av Independencia 4853 CONCHALÍ - RM	NA	(+56)229960588
carniceria	Cirano Gaete Gustavo Suc	Carnicerias	Av Luis Barros Borgoño 42 Graneros - VI Región	NA	(+56)722472788
carniceria	Carnes O'Higgins	Carnicerias	Membrillar 425 Rancagua - VI Región	NA	(+56)722235267
carniceria	Carniceria San Luis	Carnicerias	José Toribio Medina 8 Santa Cruz - VI Región	NA	(+56)722821924
carniceria	Carniceria Urzua	Carnicerias	Dr. José A.Salinas 1165 Rancagua - VI Región	NA	(+56)722244226
carniceria	Carniceria Gomez	Carnicerias	Av Alonso de Ercilla 300 Rengo - VI Región	NA	(+56)722680112
carniceria	Carniceria Talca	Carnicerias	11 Oriente 1593 Talca - VII Región	NA	(+56)712221439
carniceria	Chacon Suri Jose Miguel	Carnicerias	Rafael Tagle 31 Requinoa - VI Región	NA	(+56)722551132
carniceria	Carnes Morales	Carnicerias	Maipú 0 Linares - VII Región	NA	(+56)732214857
carniceria	Espinoza Droguett Alynson Rode	Carnicerias	Av Manuel Montt 0 Doñihue - VI Región	NA	(+56)722463537
carniceria	Sucesion Brahin Salvador Adi Osorio	Carnicerias	Av Independencia 609 Mostazal - VI Región	NA	(+56)722491316
carniceria	Carnes Donde Gabriel	Carnicerias	Av Brasil 1032 Rancagua - VI Región	NA	(+56)722644346
carniceria	Carniceria Central	Carnicerias	Pje Oscar Castro 48 Codegua - VI Región	NA	(+56)722625604
carniceria	Carniceria Pavez	Carnicerias	Armando Jaramillo 270 Nancagua - VI Región	NA	(+56)722858387
carniceria	Carnicerias San Alamiro	Carnicerias	El Limonero 0 San Vicente - VI Región	NA	(+56)722571983
carniceria	Dicarma Ltda	Carnicerias	Diego Portales 0399 Punta Arenas - XII Región	NA	(+56)612262536
carniceria	Carniceria  la Nueva Moderna	Carnicerias	Sargento Aldea 135 La Ligua - V Región	NA	(+56)332715479
carniceria	Doña Katta	Carnicerias	Santa Ana 122 Quilpué - V Región	NA	(+56)322943210
carniceria	Sabrocid	Carnicerias	Av Manuel Rodríguez 453 Chiguayante - VIII Región	NA	(+56)412987852
carniceria	Carniceria Brunelli	Carnicerias	Av Progreso 2000 Iquique - I Región	NA	(+56)572437622
carniceria	Carniceria Juaco	Carnicerias	Av J Edwards Bello 9984 LA Granja - RM	NA	(+56)225165098
carniceria	Carnes Rapel	Carnicerias	Av Santa Rosa 9482 LA Granja - RM	NA	(+56)225695524
carniceria	Carnes Pedro Andres	Carnicerias	René Schneider 154 Lota - VIII Región	NA	(+56)412870275
carniceria	La Estancia del Sur	Carnicerias	Villanelo 143 Viña del Mar - V Región	NA	(+56)322715362
carniceria	Carniceria Estrella	Carnicerias	Av La Palma 1788 CONCHALÍ - RM	NA	(+56)227366881
carniceria	Carnes Santa Fe	Carnicerias	Arturo Prat 2140 SANTIAGO - RM	NA	(+56)225567115
carniceria	Carniceria Jj	Carnicerias	Carmen 311 PAINE - RM	NA	(+56)228242847
carniceria	Carniceria Alejandro Lipian	Carnicerias	El Olimpo 3010 MAIPÚ - RM	NA	(+56)225311251
carniceria	Carniceria Estadio	Carnicerias	Av Estadio 01003 Temuco - IX Región	NA	(+56)452247790
carniceria	Sebastian	Carnicerias	Av Teniente Cruz 331 PUDAHUEL - RM	NA	(+56)227497867
carniceria	Carniceria Hinostroza	Carnicerias	Matucana 502 Parral - VII Región	NA	(+56)732463868
carniceria	Carnes Adeyale	Carnicerias	Santa Zita 9115 LAS Condes - RM	NA	(+56)222248314
carniceria	Longaniza Casera Artesanal J.R	Carnicerias	Ecuador 1354 Puerto Montt - X Región	NA	(+56)998816824
carniceria	Carniceria Albornoz (Rola)	Carnicerias	Luis Cruz Martínez 2964 Molina - VII Región	NA	(+56)752492522
carniceria	Carniceria Gamy	Carnicerias	C Pzla. Las Condes 9293 LAS Condes - RM	NA	(+56)222129839
