consulta	nombre	categoria	direccion	pagina_web	telefono
ferreteria	Prodiper Limitada	Ferreterias	Fr. Camilo Henríquez 1071 SANTIAGO - RM	NA	(56)226346047
ferreteria	Ferretería Industrial Reicón	Ferreterias Industriales	Freire 339 Concepción - VIII Región	NA	(56)993462306
ferreteria	Comsoser Ferretería Industrial	Ferreterias Industriales	Lota 201 Esquina Benavente Puerto Montt - X Región	www.comsoser.cl	(56)652349566
ferreteria	Ferretería Harcha	Materiales Para Construccion	Pedro Lagos 543 Río Bueno - XIV Región	www.ferreteriaharcha.cl	(56)642341282
ferreteria	Comercial el Alto	Materiales Para Construccion	No Publica Dirección : La Ligua - V Región	www.comercialelalto.cl	(56)332713555
ferreteria	Multicomercial M & S	Ferreterias	Purén 299 Chillán - VIII Región	www.multicomercialmys.cl	(56)422226860
ferreteria	Rafael Reyes y Cía. LTDA.	Servicios Agricolas	Av San Rafael 3820 Los Andes - V Región	www.rafaelreyes.cl	(56)342423040
ferreteria	Stihl Motosierras Imfosur	Ferreterias Industriales	Almagro 660 Los Angeles - VIII Región	www.imfosur.cl	(56)432311445
ferreteria	Buzeta para la Construcción	Ceramicas	Av. Carrascal 6659 QUINTA Normal - RM	www.buzetachile.cl	(56)227720354
ferreteria	Codelecc	Articulos Electricos	Pje San Anselmo 02685 PUENTE Alto - RM	www.codelecc.cl	(56)998306089
ferreteria	Ferretería la Sierra	Gasfiterias	No Publica Dirección : Viña del Mar - V Región	NA	(56)322711042
ferreteria	Sucomin	Articulos Para Mineria	No Publica Dirección : Coquimbo - IV Región	www.sucominltda.cl	(56)512568310
ferreteria	Centro Cerámico Ferretería Parral	Ceramicas Para Pisos Y Muros	Igualdad 398 Parral - VII Región	www.ferreteriaparral.cl	(56)732462357
ferreteria	Lubricentro y Ferretería Jorge Ríos Delard	Lubricentros	Av 21 de Mayo 2405 Concepción - VIII Región	www.lubricentrojrd.cl	(56)412980061
ferreteria	Ferretería el Shaddai	Aridos Para Construccion	Volcán Osorno 4181 Talcahuano - VIII Región	NA	(56)412944150
ferreteria	Ferretería Fredy Venegas	Materiales Para Construccion	Av. Colón 01 Puerto Varas - X Región	NA	(56)652234091
ferreteria	Maderas Flores	Maderas	1 Oriente 14 Talca - VII Región	www.maderasflores.com	(56)712225489
ferreteria	Golillas Durán	Pernos	Av. Mapocho 4406 QUINTA Normal - RM	NA	(56)224014270
ferreteria	Enzo Maderas	Maderas	Victoria Subercaseaux 551 BUIN - RM	www.enzomaderas.cl	(56)232256343
ferreteria	Agrobombas Azapa Spa	Riego	B. Vicuña Mackenna 915 Arica - XV Región	NA	(56)582586188
ferreteria	Comercial Agryfor	Materiales Para Construccion	Yungay 172 Santa Juana - VIII Región	www.comercialagryfor.cl	(56)412779033
